Forever After All; country; Luke Combs; 94; 2020
Die From A Broken Heart; country; Maddie & Tae; 87; 2019
What's Your Country Song; country; Thomas Rhett; 78; 2020
Tennessee Whiskey; country; Chris Stapleton; 91; 2015
I Hope; country; Gabby Barrett; 88; 2019
Drinkin' Problem; country; Midland; 84; 2017
The Bones; country; Maren Morris; 95; 2019
Beer Never Broke My Heart; country; Luke Combs; 89; 2019
I Don't Want This Night To End; country; Luke Bryan; 83; 2011
House Party; country; Sam Hunt; 76; 2014
Tequila Does; country; Miranda Lambert; 82; 2019
Good Vibes; country; Chris Janson; 80; 2019
Girl Crush; country; Little Big Town; 90; 2014
She's Country; country; Jason Aldean; 85; 2009
A Little Dive Bar In Dahlonega; country; Ashley McBryde; 79; 2017
Somewhere On A Beach; country; Dierks Bentley; 77; 2016
Cruise; country; Florida Georgia Line; 86; 2012
Jolene; country; Dolly Parton; 93; 1973
My Church; country; Maren Morris; 92; 2015
Wagon Wheel; country; Darius Rucker; 88; 2013
You Broke Up With Me; country; Walker Hayes; 81; 2017
Body Like A Back Road; country; Sam Hunt; 90; 2017
Folsom Prison Blues; country; Johnny Cash; 94; 1955
Friends In Low Places; country; Garth Brooks; 89; 1990
I Walk The Line; country; Johnny Cash; 92; 1956
Stand By Your Man; country; Tammy Wynette; 87; 1968
Devil Went Down To Georgia; country; Charlie Daniels Band; 90; 1979
Mama Tried; country; Merle Haggard; 91; 1968
He Stopped Loving Her Today; country; George Jones; 95; 1980
Coal Miner's Daughter; country; Loretta Lynn; 93; 1970
Friends Don't; country; Maddie & Tae; 82; 2018
Wasted On You; country; Morgan Wallen; 89; 2021
Chicken Fried; country; Zac Brown Band; 86; 2008
Bluebird; country; Miranda Lambert; 91; 2019
Speechless; country; Dan + Shay; 84; 2018
Amazed; country; Lonestar; 90; 1999
Blue Ain't Your Color; country; Keith Urban; 87;
Follow Your Arrow; country; Kacey Musgraves; 88; 2013
Cruise; country; Florida Georgia Line ft. Nelly; 83; 2012
Man! I Feel Like a Woman!; country; Shania Twain; 90; 1997
Drowns the Whiskey; country; Jason Aldean ft. Miranda Lambert; 82; 2018
I Hope You Dance; country; Lee Ann Womack; 91; 2000
More Than My Hometown; country; Morgan Wallen; 80; 2020
Strawberry Wine; country; Deana Carter; 89; 1996
Some Beach; country; Blake Shelton; 82; 2004
Before He Cheats; country; Carrie Underwood; 90; 2005
Wagon Wheel; country; Old Crow Medicine Show; 88; 2004
Tequila; country; Dan + Shay; 91; 2018
Chicken Fried; country; Zac Brown Band; 87; 2008
We Were Us; country; Keith Urban ft. Miranda Lambert; 84; 2013
Die A Happy Man; country; Thomas Rhett; 93; 2015
Highwayman; country; The Highwaymen; 90; 1985
God Bless the U.S.A.; country; Lee Greenwood; 94; 1984
I Hope; country; Ryan Hurd ft. Maren Morris; 87; 2019
You Say; country; Lauren Daigle; 86; 2018
In Case You Didn't Know; country; Brett Young; 89; 2017
I Love This Bar; country; Toby Keith; 82; 2003
Like A Cowboy; country; Randy Houser; 80; 2014
Take Me Home, Country Roads; country; John Denver; 92; 1971
The Gambler; country; Kenny Rogers; 88; 1978
Tennessee Whiskey; country; David Allan Coe; 87; 1981
That's My Kind of Night; country; Luke Bryan; 85; 2013
Need You Now; country; Lady A; 90; 2009
Don't Rock the Jukebox; country; Alan Jackson; 87; 1991
The House That Built Me; country; Miranda Lambert; 92; 2010
9 to 5; country; Dolly Parton; 89; 1980
Before the Next Teardrop Falls; country; Freddy Fender; 91; 1974
I Hope; country; Matt Stell ft. Jimmie Allen; 80; 2019
She's My Kind of Rain; country; Tim McGraw; 83; 2002
Drunk On A Plane; country; Dierks Bentley; 86; 2014
Cruise; country; Florida Georgia Line ft. Backstreet Boys; 81; 2012
John Cougar, John Deere, John 3:16; country; Keith Urban; 79; 2015
Dirt Road Anthem; country; Jason Aldean; 85; 2010
Live Like You Were Dying; country; Tim McGraw; 93; 2004
Girl Crush; country; Little Big Town; 90; 2014
Any Man of Mine; country; Shania Twain; 89; 1995
How Do You Like Me Now?!; country; Toby Keith; 85; 1999
There's Your Trouble; country; Dixie Chicks; 84; 1998
My Maria; country; Brooks & Dunn; 87; 1996
Drink a Beer; country; Luke Bryan; 83; 2013
The Dance; country; Garth Brooks; 92; 1989
Die From A Broken Heart; country; Maddie & Tae; 85; 2019
Tequila Makes Her Clothes Fall Off; country; Joe Nichols; 81; 2005
Whiskey Lullaby; country; Brad Paisley ft. Alison Krauss; 91; 2003
I Don't Want This Night To End; country; Luke Bryan; 88; 2011
Jolene; country; Dolly Parton; 90; 1973
The Devil Went Down to Georgia; country; The Charlie Daniels Band; 92; 1979
